,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
0,600302,Ardrey Kell High School,28277,2011,109251.0,271.0,54.0,76.0,2.5,2.5,35.0,439.0,,,,,0.8883,0.95,0.8775,0.847,0.807,0.75,0.8842,0.7916,0.8923,0.95,,0.8421,0.9094,
1,600334,Cato Middle College High School,28215,2011,50704.0,39.0,2.5,8.0,,2.5,2.5,56.0,,,,,0.875,0.95,0.95,0.9142,0.8518,0.95,0.8947,0.6,0.8333,,,,0.8181,
2,600361,Butler High School,28105,2011,117852.0,224.0,49.0,191.0,5.0,16.0,68.0,553.0,,,,,0.7851,0.6666,0.8095,0.6982,0.731,0.6666,0.8096,0.6363,0.7584,0.9,,0.4074,0.8291,
3,600364,Military and Global Leadership,28205,2011,50200.0,5.0,2.5,2.5,,,2.5,10.0,,,,,0.7,,0.95,0.625,0.75,,0.6666,0.95,0.75,,,0.95,,
4,600376,,,2011,,37.0,7.0,73.0,2.5,2.5,36.0,158.0,,,,,0.4113,0.95,0.5,0.5357,0.3898,0.08,0.4567,0.228,0.3636,,,0.3,0.4166,
5,600377,East Mecklenburg High School,28212,2011,46688.0,165.0,32.0,114.0,2.5,2.5,30.0,346.0,,,,,0.7225,0.95,0.8888,0.6896,0.6601,0.5862,0.7451,0.5238,0.6884,0.5714,,0.3,0.8174,
6,600386,Hawthorne Academy of Health Sciences,28205,2011,50200.0,11.0,9.0,64.0,,11.0,14.0,109.0,,,,,0.3761,,0.95,0.3829,0.358,0.95,0.3797,0.1666,0.3666,,,0.2666,0.5,
7,600405,Harding University High School,28208,2011,42570.0,126.0,29.0,38.0,,11.0,12.0,216.0,,,,,0.8055,,0.7692,0.7967,0.8211,,0.8425,0.95,0.7528,0.95,,0.8,0.8888,
8,600415,Hopewell High School,28078,2011,82225.0,289.0,26.0,125.0,5.0,2.5,81.0,530.0,,,,,0.6698,0.2857,0.8181,0.5648,0.503,0.4,0.6889,0.4705,0.645,0.6363,,0.4516,0.796,
9,600426,Independence High School,28227,2011,43990.0,194.0,28.0,166.0,2.5,20.0,61.0,471.0,,,,,0.622,0.3333,0.647,0.6485,0.6117,0.475,0.6987,0.4459,0.5431,0.7333,,0.3214,0.6744,
10,600445,Mallard Creek High School,28269,2011,60423.0,227.0,53.0,147.0,2.5,2.5,46.0,478.0,,,,,0.7782,0.95,0.8636,0.7256,0.6918,0.5,0.8132,0.5312,0.7426,0.95,,0.52,0.9154,
11,600461,,,2011,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,
12,600466,Myers Park High School,28209,2011,99628.0,340.0,68.0,81.0,2.5,,89.0,580.0,,,,,0.7965,0.95,0.8297,0.6857,0.6209,0.5789,0.8273,0.6285,0.7682,0.6,,0.5909,0.8397,
