LEA Name,LEA Number,School Name,School Number,Address Line1,City,Zip Code,Operational Status,Grade Level Current
Charlotte-Mecklenburg Schools,600,-,,Charlotte Mecklenburg Schools,Charlotte,28208,Open,
Charlotte-Mecklenburg Schools,600,Albemarle Road Elementary,600300,7800 Riding Trail Rd,Charlotte,28212,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Albemarle Road Middle,600301,6900 Democracy Drive,Charlotte,28212,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Alexander Graham Middle,600399,1800 Runnymede Lane,Charlotte,28211,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Allenbrook Elementary,600308,1430 Allenbrook Dr,Charlotte,28208,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Ardrey Kell High School,600302,10220 Ardrey Kell Road,Charlotte,28277,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Ashley Park PreK-8 School,600311,2401 Belfast Dr,Charlotte,28208,Open,PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Bailey Middle,600313,11900 Bailey Rd,Cornelius,28031,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Bain Elementary,600314,11540 Bain School Rd,Mint Hill,28227,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Ballantyne Elementary,600437,15425 Scholastic Dr,Charlotte,28277,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Barnette Elementary,600328,13659 Beatties Ford Rd,Huntersville,28078,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Berewick Elementary,600369,5910 Dixie River Rd,Charlotte,28278,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Berryhill School,600319,10501 Windy Grove Rd,Charlotte,28278,Open,PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Beverly Woods Elementary,600322,6001 Quail Hollow Rd,Charlotte,28210,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Billingsville Elementary,600335,124 Skyland Ave,Charlotte,28205,Open,KG:01:02
Charlotte-Mecklenburg Schools,600,Blythe Elementary,600442,12202 Hambright Rd,Huntersville,28078,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Briarwood Academy,600329,1001 Wilann Dr,Charlotte,28215,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Bruns Avenue Elementary,600489,501 S. Bruns Ave,Charlotte,28208,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Butler High School,600361,1810 Matthews-Mint Hill Rd,Matthews,28105,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Carmel Middle,600333,5001 Camilla Dr,Charlotte,28226,Open,06:07:08
