"School Number","School Name","Official School Name","LEA Number","Zip Code 5","Grade Level Current"
"600567","Char Eng Early College-UNCC","Char Eng Early College-UNCC","600","28262","09:10:11:12:13:XG"
"600569","Charlotte Teacher Early College","Charlotte Teacher Early College","600","28262","09:10:11:12:13:XG"
"600302","Ardrey Kell High School","Ardrey Kell High School","600","28277","09:10:11:12:XG"
"600312","William Amos Hough High","William Amos Hough High School","600","28031","09:10:11:12:XG"
"600361","Butler High School","David W Butler High School","600","28105","09:10:11:12:XG"
"600364","Military and Global Leadership","Military and Global Leadership","600","28205","09:10:11:12:XG"
"600377","East Mecklenburg High School","East Mecklenburg High School","600","28212","09:10:11:12:XG"
"600386","Hawthorne Academy of Health Sciences","Hawthorne Academy of Health Sciences","600","28205","09:10:11:12:XG"
"600397","Garinger High School","Garinger High School","600","28205","09:10:11:12:XG"
"600405","Harding University High School","Harding University High School","600","28208","09:10:11:12:XG"
"600415","Hopewell High School","Hopewell High School","600","28078","09:10:11:12:XG"
"600426","Independence High School","Independence High School","600","28227","09:10:11:12:XG"
"600445","Mallard Creek High School","Mallard Creek High School","600","28269","09:10:11:12:XG"
"600457","Rocky River High School","Rocky River High School","600","28227","09:10:11:12:XG"
"600466","Myers Park High School","Myers Park High School","600","28209","09:10:11:12:XG"
"600480","North Mecklenburg High School","North Mecklenburg High School","600","28078","09:10:11:12:XG"
"600490","Olympic High School","Olympic High School","600","28273","09:10:11:12:XG"
"600496","Phillip O Berry Academy of Technology","Phillip O. Berry Academy of Technology","600","28208","09:10:11:12:XG"
"600498","Performance Learning Center","Performance Learning Center","600","28262","09:10:11:12:XG"
"600499","Charlotte-Mecklenburg Virtual High","Charlotte-Mecklenburg Virtual High School","600","28216","09:10:11:12:XG"
"600508","Providence High School","Providence High School","600","28270","09:10:11:12:XG"
"600535","South Mecklenburg High School","South Mecklenburg High School","600","28210","09:10:11:12:XG"
"600576","West Charlotte High School","West Charlotte High School","600","28216","09:10:11:12:XG"
"600579","West Mecklenburg High School","West Mecklenburg High School","600","28214","09:10:11:12:XG"
"600592","Julius L. Chambers High School","Julius L. Chambers High School","600","28262","09:10:11:12:XG"
"600334","Cato Middle College High School","Cato Middle College High School","600","28215","11:12:13:XG"
"600404","Harper Middle College High","Harper Middle College High","600","28273","11:12:13:XG"
"600443","Levine Middle College High Sch","Levine Middle College High Sch","600","28105","11:12:13:XG"
"600594","Merancas Middle College-CPCC","Merancas Middle College-CPCC","600","28078","11:12:13:XG"
