,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
0,600302,Ardrey Kell High School,28277,2011,109251.0,0.6173120728929385,0.12300683371298406,0.17312072892938496,0.0056947608200455585,0.0056947608200455585,0.07972665148063782,439.0,,,,,0.8883,0.95,0.8775,0.847,0.807,0.75,0.8842,0.7916,0.8923,0.95,0.0,0.8421,0.9094,
1,600334,Cato Middle College High School,28215,2011,50704.0,0.6964285714285714,0.044642857142857144,0.14285714285714285,0.0,0.044642857142857144,0.044642857142857144,56.0,,,,,0.875,0.95,0.95,0.9142,0.8518,0.95,0.8947,0.6,0.8333,0.0,0.0,0.0,0.8181,
2,600361,Butler High School,28105,2011,117852.0,0.4050632911392405,0.08860759493670886,0.3453887884267631,0.009041591320072333,0.028933092224231464,0.12296564195298372,553.0,,,,,0.7851,0.6666,0.8095,0.6982,0.731,0.6666,0.8096,0.6363,0.7584,0.9,0.0,0.4074,0.8291,
3,600364,Military and Global Leadership,28205,2011,50200.0,0.5,0.25,0.25,0.0,0.0,0.25,10.0,,,,,0.7,0.0,0.95,0.625,0.75,0.0,0.6666,0.95,0.75,0.0,0.0,0.95,0.0,
4,600376,,,2011,,0.23417721518987342,0.04430379746835443,0.4620253164556962,0.015822784810126583,0.015822784810126583,0.22784810126582278,158.0,,,,,0.4113,0.95,0.5,0.5357,0.3898,0.08,0.4567,0.228,0.3636,0.0,0.0,0.3,0.4166,
5,600377,East Mecklenburg High School,28212,2011,46688.0,0.476878612716763,0.09248554913294797,0.32947976878612717,0.0072254335260115606,0.0072254335260115606,0.08670520231213873,346.0,,,,,0.7225,0.95,0.8888,0.6896,0.6601,0.5862,0.7451,0.5238,0.6884,0.5714,0.0,0.3,0.8174,
6,600386,Hawthorne Academy of Health Sciences,28205,2011,50200.0,0.10091743119266056,0.08256880733944955,0.5871559633027523,0.0,0.10091743119266056,0.12844036697247707,109.0,,,,,0.3761,0.0,0.95,0.3829,0.358,0.95,0.3797,0.1666,0.3666,0.0,0.0,0.2666,0.5,
7,600405,Harding University High School,28208,2011,42570.0,0.5833333333333334,0.13425925925925927,0.17592592592592593,0.0,0.05092592592592592,0.05555555555555555,216.0,,,,,0.8055,0.0,0.7692,0.7967,0.8211,0.0,0.8425,0.95,0.7528,0.95,0.0,0.8,0.8888,
8,600415,Hopewell High School,28078,2011,82225.0,0.5452830188679245,0.04905660377358491,0.2358490566037736,0.009433962264150943,0.0047169811320754715,0.15283018867924528,530.0,,,,,0.6698,0.2857,0.8181,0.5648,0.503,0.4,0.6889,0.4705,0.645,0.6363,0.0,0.4516,0.796,
9,600426,Independence High School,28227,2011,43990.0,0.4118895966029724,0.059447983014861996,0.3524416135881104,0.005307855626326964,0.04246284501061571,0.12951167728237792,471.0,,,,,0.622,0.3333,0.647,0.6485,0.6117,0.475,0.6987,0.4459,0.5431,0.7333,0.0,0.3214,0.6744,
10,600445,Mallard Creek High School,28269,2011,60423.0,0.47489539748953974,0.1108786610878661,0.3075313807531381,0.005230125523012552,0.005230125523012552,0.09623430962343096,478.0,,,,,0.7782,0.95,0.8636,0.7256,0.6918,0.5,0.8132,0.5312,0.7426,0.95,0.0,0.52,0.9154,
12,600466,Myers Park High School,28209,2011,99628.0,0.5862068965517241,0.11724137931034483,0.1396551724137931,0.004310344827586207,0.0,0.15344827586206897,580.0,,,,,0.7965,0.95,0.8297,0.6857,0.6209,0.5789,0.8273,0.6285,0.7682,0.6,0.0,0.5909,0.8397,
13,600480,North Mecklenburg High School,28078,2011,82225.0,0.5157232704402516,0.16142557651991615,0.22012578616352202,0.010482180293501049,0.014675052410901468,0.07756813417190776,477.0,,,,,0.87,0.0,0.95,0.752,0.7452,0.3333,0.8666,0.64,0.8738,0.95,0.0,0.6538,0.9285,
14,600482,,,2011,,0.5255474452554745,0.1678832116788321,0.2116788321167883,0.01824817518248175,0.0,0.08759124087591241,137.0,,,,,0.8248,0.95,0.0,0.7656,0.7631,0.0,0.87,0.95,0.7027,0.6666,0.0,0.6666,0.8906,
15,600496,Phillip O Berry Academy of Technology,28208,2011,42570.0,0.51953125,0.078125,0.32421875,0.009765625,0.009765625,0.05859375,256.0,,,,,0.7031,0.0,0.6666,0.7156,0.6783,0.95,0.7716,0.75,0.6356,0.0,0.0,0.5833,0.6,
