,year,Graduate Intention,Male Indian,Male Black,Male White,Male Hispanic,Male Pacific Islander,Male Two or More,Male Total,Female Indian,Female Black,Female White,Female Hispanic,Female Asian,Female Pacific Islander,Female Two or More,Female Total,Grand Total,Percent
0,2015,PUBLIC SR INSTIT NC,5,464,598,96,*,42,1297.0,6,675,689,123,104,*,50,1649,2946.0,32.7
1,2015,PUBLIC SR OUT-STATE,*,46,160,12,*,6,237.0,*,58,170,15,15,*,12,272,509.0,5.7
2,2015,Subtotal for Public SR,5,510,758,108,*,48,1534.0,7,733,859,138,119,*,62,1921,3455.0,38.4
3,2015,PRIVATE SR INSTIT NC,*,102,77,22,*,*,217.0,*,140,109,27,14,*,6,296,513.0,5.7
4,2015,PRIVATE SR OUT-STATE,*,48,65,9,*,*,133.0,*,67,102,9,6,*,*,187,320.0,3.6
5,2015,Subtotal for Private SR,*,150,142,31,*,*,350.0,*,207,211,36,20,*,9,483,833.0,9.3
6,2015,COMM COLLEGE TECH NC,6,750,377,331,*,41,1597.0,9,788,315,385,86,*,33,1620,3217.0,35.8
7,2015,C.C. TECH OUT-STATE,*,25,17,8,*,*,52.0,*,28,15,*,*,*,*,50,102.0,1.1
8,2015,Subtotal for Comm College,7,775,394,339,*,42,1649.0,9,816,330,388,86,*,37,1670,3319.0,36.9
9,2015,PRIVATE JR COLLEGE NC,*,10,*,*,*,*,15.0,*,8,*,5,*,*,*,15,30.0,0.3
10,2015,PRIVATE JR OUT-STATE,*,*,*,*,*,*,5.0,*,*,*,*,*,*,*,5,10.0,0.1
11,2015,Subtotal for Private JR,*,13,*,*,*,*,20.0,*,10,*,6,*,*,*,20,40.0,0.4
12,2015,TRADE BUSINESS NC,*,16,6,6,*,*,30.0,*,25,23,8,*,*,*,58,88.0,1.0
13,2015,TRADE BUS OUT-STATE,*,*,*,*,*,*,7.0,*,*,*,*,*,*,*,*,11.0,0.1
14,2015,Subtotal for Trade,*,19,9,7,*,*,37.0,*,29,23,8,*,*,*,62,99.0,1.1
15,2015,MILITARY,*,108,37,25,*,6,183.0,*,55,8,11,*,*,*,81,264.0,2.9
16,2015,EMPLOYMENT,*,255,83,108,*,9,487.0,*,127,43,66,8,*,11,257,744.0,8.3
17,2015,OTHERS **,*,68,33,14,*,7,126.0,*,67,19,27,*,*,*,117,243.0,2.7
18,2015,Subtotal for Other,*,431,153,147,*,22,796.0,*,249,70,104,13,*,15,455,1251.0,13.9
19,2015,-,16,1898,1460,634,*,116,4386.0,17,2044,1496,680,241,10,123,4611,8997.0,100.0
20,2015,,,,,,,,,,,,,,,,,,
21,2015,,,,,,,,,,,,,,,,,,
22,2016,PUBLIC SR INSTIT NC,8,465,589,118,*,31,1331.0,*,810,685,131,125,*,42,1797,3128.0,34.3
23,2016,PUBLIC SR OUT-STATE,*,60,150,12,*,5,232.0,*,61,185,15,20,*,6,289,521.0,5.7
24,2016,Subtotal for Public SR,8,525,739,130,*,36,1563.0,6,871,870,146,145,*,48,2086,3649.0,40.0
25,2016,PRIVATE SR INSTIT NC,*,106,70,32,*,*,226.0,*,141,104,37,8,*,9,300,526.0,5.8
26,2016,PRIVATE SR OUT-STATE,*,50,85,7,*,7,158.0,*,67,88,12,14,*,*,185,343.0,3.8
27,2016,Subtotal for Private SR,*,156,155,39,*,9,384.0,*,208,192,49,22,*,12,485,869.0,9.5
28,2016,COMM COLLEGE TECH NC,5,678,410,341,*,45,1577.0,9,727,325,355,80,*,47,1544,3121.0,34.2
29,2016,C.C. TECH OUT-STATE,*,25,18,6,*,*,50.0,*,20,9,*,*,*,*,33,83.0,0.9
30,2016,Subtotal for Comm College,5,703,428,347,*,45,1627.0,9,747,334,357,80,*,49,1577,3204.0,35.1
31,2016,PRIVATE JR COLLEGE NC,*,20,*,*,*,*,24.0,*,8,*,*,*,*,*,13,37.0,0.4
32,2016,PRIVATE JR OUT-STATE,*,*,*,*,*,*,5.0,*,*,*,*,*,*,*,*,9.0,0.1
33,2016,Subtotal for Private JR,*,23,*,*,*,*,29.0,*,8,*,5,*,*,*,17,46.0,0.5
34,2016,TRADE BUSINESS NC,*,22,5,6,*,*,35.0,*,24,5,16,*,*,*,48,83.0,0.9
35,2016,Subtotal for Trade,*,22,5,6,*,*,35.0,*,24,5,16,*,*,*,48,83.0,0.9
36,2016,MILITARY,*,108,35,28,*,*,183.0,*,39,8,10,*,*,*,62,245.0,2.7
37,2016,EMPLOYMENT,*,279,91,153,*,11,550.0,*,149,48,86,12,*,*,301,851.0,9.3
38,2016,OTHERS **,*,43,17,28,*,*,100.0,*,26,21,15,*,*,6,73,173.0,1.9
39,2016,Subtotal for Other,6,430,143,209,*,17,833.0,5,214,77,111,16,*,11,436,1269.0,13.9
40,2016,-,19,1859,1472,734,*,109,4471.0,22,2072,1481,684,266,*,121,4649,9120.0,100.0
41,2016,,,,,,,,,,,,,,,,,,
42,2016,,,,,,,,,,,,,,,,,,
43,2017,PUBLIC SR INSTIT NC,6,533,632,147,*,44,1499,14,877,744,193,140,*,48,2016,3515.0,37.8
